"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","contrast"
1.28237820664611,1.66226230134371,1.33523891493234,0.189621117530661,0.999984452942187,-5.13218866448132,"Angptl4","tumor_vs_healthy_12h"
0.639075947226877,5.66558418996347,1.33453904323911,0.189848140670284,0.999984452942187,-5.13304341526837,"Trib1","tumor_vs_healthy_12h"
0.419049642147334,7.01280318742576,1.33438638312539,0.189897687922161,0.999984452942187,-5.13322980458658,"Map1lc3a","tumor_vs_healthy_12h"
0.760513332073481,0.559238048346315,1.33436032480636,0.18990614637966,0.999984452942187,-5.13326161838244,"Fcor","tumor_vs_healthy_12h"
-1.28735236032057,0.819306228455452,-1.33427951740546,0.189932378070106,0.999984452942187,-5.13336027006054,"2500004C02Rik","tumor_vs_healthy_12h"
-1.12976945201053,4.32738035889435,-1.33405883899452,0.190004028805101,0.999984452942187,-5.13362965216254,"Amot","tumor_vs_healthy_12h"
1.08407701591523,2.36511396549687,1.33398020468026,0.190029565103199,0.999984452942187,-5.13372563130344,"Serp2","tumor_vs_healthy_12h"
1.1772836970132,2.48571998507985,1.33322720735315,0.190274232160615,0.999984452942187,-5.13464446206964,"Tead3","tumor_vs_healthy_12h"
-0.987799977489628,4.01551817378416,-1.33308374638722,0.190320873430413,0.999984452942187,-5.13481946429632,"Zfp46","tumor_vs_healthy_12h"
1.55462274546076,0.81193170453901,1.33295858812178,0.190361571369038,0.999984452942187,-5.1349721258629,"Tspo2","tumor_vs_healthy_12h"
-1.02416563258715,0.695292411819688,-1.3326356556166,0.190466610673887,0.999984452942187,-5.13536596221223,"BC065397","tumor_vs_healthy_12h"
-1.10789296233571,1.04552864137886,-1.33201426887268,0.19066885207474,0.999984452942187,-5.13612353886634,"Gm15542","tumor_vs_healthy_12h"
1.12990054660049,2.44014044339231,1.33183116538121,0.190728477700276,0.999984452942187,-5.13634671224542,"Nipal1","tumor_vs_healthy_12h"
-0.43887595646378,6.91883953152721,-1.33128687110556,0.190905805332044,0.999984452942187,-5.1370099542824,"Bag3","tumor_vs_healthy_12h"
1.01651501148818,1.08945133274568,1.33094555780114,0.191017067364298,0.999984452942187,-5.13742573140047,"F730043M19Rik","tumor_vs_healthy_12h"
-0.925536197887649,0.469647025227603,-1.33085367406893,0.191047028288641,0.999984452942187,-5.13753764476193,"Ric3","tumor_vs_healthy_12h"
0.939365205394396,0.289397154847262,1.32966814412095,0.19143392155446,0.999984452942187,-5.13898097889411,"Lzts3","tumor_vs_healthy_12h"
-0.824345677927285,0.115509502063394,-1.32927030280574,0.191563889734873,0.999984452942187,-5.13946507308696,"Gm27675","tumor_vs_healthy_12h"
-1.26502569384373,2.81347961829618,-1.32914556106221,0.191604654687999,0.999984452942187,-5.1396168320721,"Gpr126","tumor_vs_healthy_12h"
-1.17721763441941,3.09462494309884,-1.32912740466208,0.191610588657952,0.999984452942187,-5.13963891980716,"Aldh1a1","tumor_vs_healthy_12h"
